num,category,news
29,7,2020 도쿄올림픽에는 지난 동계올림픽에서 빙판 위를 누비다 종목을 바꿔 출전한 선수들이 있다... 하계·동계올림픽을 오가며 꿈의 무대에 도전하는 이들이다... .. .. .. ..대표적인 인물이 캐나다 트랙 사이클 대표로 출전하는 뱅상 드 에트르(27)다... 그는 2014년 소치 동계올림픽에 이어 2018년 평창 동계올림픽에 스피드스케이팅 대표로 출..
30,7,[헤럴드경제=김성진 기자] 한국양궁의 힘은 역시 대단했다... 여자 대표팀의 막내 안산(20·광주여대)이 올림픽 양궁 사상 첫 3관왕에 도전할 수 있게 됐다... .. .. .. .. 안산은 23일 일본 도쿄 유메노시마 공원 양궁장에서 열린 도쿄올림픽 여자 개인 예선 랭킹라운드(순위결정전)에서 72발 합계 680점을 쏴 64명의 출전선수 중 1위로 본선..
31,2,[아시아경제 김수환 기자] 코로나19 대유행 사태로 인해 올림픽 역사상 처음으로 연기된 2020 도쿄올림픽이 23일 저녁 마침내 개막하는 가운데 일본 아사히신문이 ..'이상한 대회'라고 정의했다... .. .. .. ..23일 아사히신문은 개막식이 열리는 이날 ..'표류하는 제전'이란 제목의 사설을 게재하며 이같이 전했다... .. .. .. ..지난 ..
32,7,양궁 국가대표 안산이 23일 일본 유메노시마 공원 양궁장에서 열린 도쿄올림픽 여자 개인전 랭킹라운드에서 활시위를 당기고 있다... 안산은 이날 72발 합계 680점을 쏴 64명의 출전선수 중 1위로 본선에 올랐다... 연합뉴스 .. .. .. .. 역시 세계 최강이었다... 한국 여자 양궁 대표팀이 여자 랭킹 라운드에서 1~3위를 휩쓸며 본선에 올랐다...
33,7,올림픽 관계자가 20일 도쿄 하루미 지역 올림픽선수촌 숙소동 주변에서 출입을 통제하고 있다... 연합뉴스 .. .. .. .. 2020 도쿄올림픽 관련 코로나19 감염자가 22일에만 19명 추가됐다... 이로써 대회 관련 누적 확진자만 106명이 됐다... .. .. .. .. 도쿄올림픽 조직위원회는 해외에서 온 선수 3명을 포함 19명의 대회 참가자가..
34,2,"3만6170엔, 우리 돈 37만원... .. .. .. .. 도쿄올림픽에서 한국 축구대표팀 취재를 위해 내야 하는 편도 택시비다... 22일 한국-뉴질랜드전을 보러 가시마 스타디움에 다녀왔다... 도쿄~가시마 왕복 택시비는 7만4380엔, 우리 돈 77만원에 달한다... 최초 운임은 420엔(4382원), 고속도로에서는 거의 11초당 80엔(834원)씩.."
35,7,韓대표팀 1~3위 싹쓸이 .. .. .. ..세계 최강 한국 양궁이 순조롭게 출발했다... 도쿄올림픽 여자 개인 예선 랭킹라운드(순위결정전)에서 한국은 올림픽 기록을 경신하며 1∼3위를 휩쓸었다... .. .. .. .. ..여자대표팀의 막내 안산(20·광주여대)은 23일 오전 일본 도쿄 유메노시마 공원 양궁장에서 열린 도쿄올림픽 랭킹라운드에서 72발 ..
36,2,스가 요시히데 일본 총리가 코로나19 대유행 속에 올림픽 개최를 위해 대중을 설득하는 게 힘겨웠지만 올림픽은 결국 성공할 것이라는 기대감을 내비쳤습니다. .. ..스가 총리는 오늘 공개된 NBC방송과의 인터뷰에서 ..가장 걱정스러웠던 건 여론이 너무 분열돼 있다는 것이지만 ..올림픽이 예정대로 오늘 개막해 결국 일본이 얻게 될 성과는 매우 클 것..
37,7,신한은행은 2020 도쿄올림픽 야구 국가대표팀 선전을 기원하며 메타버스 구장 ..'신한 SOL 베이스볼 파크'에서 팬 참여 이벤트를 시행한다고 23일 밝혔다... 신한은행은 올림픽 야구 국가대표팀 평가전의 직관 응원을 할 수 없는 야구 팬을 위해 자체 플랫폼에 메타버스 야구장을 오픈하고 야구 팬 2만명을 초대한다... 이번 이벤트는 LG 트윈스와의 평가..
38,#VALUE!,[머니투데이 변휘 기자] 23일 저녁 논란의 도쿄올림픽 개막식을 앞둔 가운데 우리 국민의 올림픽에 대한 관심도는 직전 대회에 비해 반토막 수준이라는 여론조사 결과가 23일 나왔다... 또 10명 중 8명 이상은 도쿄올림픽의 성공 개최가 어려울 것이란 비관적 전망을 내놓았다. .. ..한국갤럽은 이달 20~22일 전국 성인 1003명에게 도쿄올림픽에 대한..
39,2,"일본 남동부 태평양 해역에서 열대저압부가 발생했다... 열대저압부가 태풍으로 발달한다면 도쿄 올림픽 경기에 영향을 줄 가능성이 제기되고 있다. ..23일 일본 기상청과 웨더뉴스, 아사히TV 등에 따르면 이날 오전 9시 미나미토리섬 근해에서 생성된 열대저압부가 24시간 안에 태풍으로 발전할 가능성이 높다고 예보했다. ..이 열대저압부의 중심기압은 1002.."
40,2,"2020 도쿄올림픽 개막식이 일본 도쿄 신주쿠 국립경기장에서 23일 시작된 가운데, 한국 선수단도 참가국 가운데 103번째로 입장을 마쳤다... 이번 올림픽 입장 순서는 어떻게 정해진 것일까... .. .. ..먼저 첫 입장은 전통적으로 그리스가 맡는다... 올림픽의 진원지인 그리스에 대한 예우 차원이다... 이번 대회에서는 그리스의 뒤를 난민 대표팀이.."
41,7,"<앵커> .. .. .. .. .. ..배구 여제 김연경 선수는 도쿄올림픽을 자신의 마지막 올림픽 무대로 삼고 있는데요, 45년 만의 메달 획득을 위해 모든 걸 쏟아붓겠다는 각오입니다... .. .. .. .. .. ..유병민 기자입니다... .. .. .. .. .. ..<기자> .. .. .. .. .. ..김연경이 밝은 표정으로 결전지 아리아케 아.."
42,2,방역 당국이 도쿄올림픽에 출전한 우리나라 선수단을 신종 코로나바이러스 감염증(코로나19) 위험으로부터 지키기 위해 ..'도쿄올림픽 감염병 대책반'을 운영한다... .. .. .. ..질병관리청은 23일 이날부터 내달 9일까지 도쿄 하계올림픽 관련 코로나19 대응 계획을 마련해 추진 중이라고 밝혔다... .. .. .. ..질병청은 지난 20일부터 ..'..
43,7,"[헤럴드경제=조범자 기자] 도쿄올림픽 남자골프 대표팀이 올림픽 첫 메달 사냥에 나섰다... .. .. .. .. 최경주 대표팀 감독과 임성재, 김시우는 23일 도쿄행 비행기에 올랐다... 남자 골프는 오는 29일부터 나흘간 사이타마현 가스미가세키CC(파72)에서 열린다... .. .. .. .. 임성재는 이날 자신의 SNS에 최 감독, 김시우와 함께 출.."
44,1,'전지적 참견 시점’에서 엄지원이 생애 처음으로 관찰 예능에 출연한다... .. .. .. .. .. 오는 24일 방송되는 MBC 예능프로그램 ..'전지적 참견 시점'에서는 ..‘취미열정러’ 엄지원의 솔직한 일상이 그려진다... 엄지원이 관찰 예능 프로그램에 출연한 것은 이번이 처음이다... .. .. .. .. .. 엄지원의 매니저는 ..누나는 새로..
45,7,남자 양궁대표팀 막내 김제덕(16·경북일고)이 23일 일본 도쿄 유메노시마 공원 양궁장에서 열린 남자 개인 예선 랭킹 라운드에서 688점으로 1위를 차지했다... .. .. .. ..앞서 같은날 열린 여자 양궁 랭킹 라운드 1위에 오른 안산과 파트너를 이뤄 도쿄올림픽부터 처음 도입된 ..'혼성전' 출전도 확정됐다... .. .. .. ..김제덕은 이날 ..
46,7,한국 여자 양궁 대표팀이 도쿄올림픽 개막 첫날부터 올림픽 신기록과 함께 랭킹라운드에서 나란히 1~3위를 차지하며 금메달을 향해 기분 좋게 출발했다... .. .. .. ..양궁 대표팀 막내 안산(20·광주여대)은 23일 도쿄 유메노시마공원 양궁장에서 열린 여자 랭킹라운드에서 680점을 쏴 64명 중 1위에 올랐다... 총 72발 중 36발을 10점에 맞..
47,7,"대한민국 선수단이 오늘(23일) 열리는 도쿄올림픽 개회식에서 103번째로 입장한다. .. ..대한체육회는 개최국인 일본의 언어 순서와 국제올림픽위원회(IOC) 기준에 따라 우리나라가 전체 참가팀 중 중간쯤인 103번째로 입장한다고 22일 전했다. .. ..근대 올림픽이 처음으로 열린 그리스가 가장 먼저 입장하고, 난민대표팀이 뒤를 잇는다. .. ..이어.."
48,7,[헤럴드경제=홍석희 기자] ..‘2020 도쿄올림픽’에 대한 한국인들의 관심도가 ..‘역대 최저’라는 여론조사 결과가 나왔다... ..‘코로나19’ 확산으로 올림픽이 한 해 미뤄진 데다 최근 급격히 나빠진 한·일 관계 등이 복합적으로 영향을 미친 결과로 해석된다... .. .. .. .. 한국갤럽은 23일 ..‘도쿄올림픽에 대한 관심’ 수준을 물은 결과..
49,7,마이클 펠프스(36·미국)와 우사인 볼트(35·자메이카)의 뒤를 이을 올림픽의 아이콘은 누가 될까... 각각 수영과 육상계를 지배했던 둘이 2016 리우올림픽을 끝으로 물러나며 올림픽 대표 스타 자리는 공석이 됐다... 23일 막을 올리는 2020 도쿄올림픽에선 여러 선수가 올림픽 최고의 별이 되기 위해 치열한 경쟁을 펼친다... .. .. .. ..◇..
50,2,도쿄올림픽이 개막일까지 일본내 코로나 확산세가 잡히지 않고 있다. .. NHK는 22일 하룻동안 일본내 신규확진자가 5397명으로 집계됐다고 23일 보도했다... 일일 신규 확진자 수가 5000명을 돌파한 것은 올해 5월 20일(5712명) 이후 처음이다... 도쿄만 하더라도 1979명이 나왔다... 이 역시 1월 15일(2044명) 이후 일일 최다 확..
51,2,여자가 많은 이사회는 ..(회의에) 시간만 더 걸린다. .. ..지난 2월 일본올림픽위원회(JOC) 평의원회에서 여성 이사 증원을 반대하며 비하성 발언을 해 물러난 모리 요시로 전 도쿄올림픽·패럴림픽 조직위원회 위원장이 23일 도쿄올림픽 개회식에 참석한다... .. .. .. ..모리 전 위원장은 유공자 자격으로 개회식에 참석하는 것으로 알려졌다...
52,7,“1차전 같은 경기력이면 일찌감치 짐 싸서 돌아올 수도 있을 것이다.” ..22일 일본 이바라키 가시마 스타디움에서 열린 한국과 뉴질랜드의 2020 도쿄올림픽 남자축구 B조 1차전을 지켜본 축구 전문가들은 한결같이 냉혹한 평가를 내렸다. ..뉴질랜드와 1차전에서 답답한 경기 끝에 0-1로 무릎을 꿇은 한국은 25일 오후 8시 같은 장소에서 루마니아와 2..
53,2,"일본의 대표적인 여성 싱어 미샤(MISIA)가 도쿄올림픽 개막식에서 일본 국가이자 제국주의 상징인 기미가요를 제창한다... .. .. .. ..23일 일본 닛칸스포츠 등은 가수 미샤가 개막식 무대에 올라 기미가요를 부른다고 보도했다... 미샤는 1998년 데뷔해 현재까지 라이브, 콘서트 투어 등으로 활동하는 실력파 가수다... .. .. .. ..기미가.."
54,2,[아시아경제 김유리 기자] 23일 2020 도쿄 올림픽 개막을 앞두고 주요 외신들이 대회 흥행에 물음표를 던지면서 ..'찬사거리가 없다'는 등 혹평을 내놨다... .. .. .. ..영국 BBC방송은 22일(현지시간) 전 세계에 여전히 코로나19가 영향력을 행사하고 있는 상황에서 도쿄 올림픽이 개최된다면서 선수뿐 아니라 대회 관계자들에게 엄격한 방역 수..
55,,"■ 전 세계적 감염병 속 치러지는 올림픽, 인류의 거대한 실험이 오늘 밤 개막과 함께 17일간 치러집니다... 잠시 후 도쿄 현지 연결합니다. .. .. ..■ 수도권 4단계가 2주 연장되고, 추가로 기업 행사의 숙박도 금지됩니다... 다만 결혼식과 장례식은 49명까지 참석이 허용되는 등 일부 규제는 완화됐습니다. .. .. ..■ 휴가철, 부산과 강원.."
56,2,도쿄올림픽 개막식이 열리는 경기장 인근에 대낮부터 도쿄 시민들이 붐비기 시작했다... .. .. .. .. 도쿄올림픽 개막식은 23일 오후 8시 도쿄 올림픽스타디움(신 국립경기장)에서 개최된다... .. .. .. .. 일본은 현재 코로나19 여파로 몸살을 앓고 있다... .. .. .. .. 도쿄도는 지난 22일 하루 신규 확진자가 2000명에 육박했..
57,2,"일본 톱가수 미샤(MISIA)가 23일 2020 도쿄 올림픽 개막식에서 일본 국가인 기미가요(君が代)를 부른다... .. .. .. .. 23일 닛칸스포츠 등은 가수 미샤가 올림픽 개막식에서 기미가요를 부를 것이라고 보도했다... .. .. .. .. 기미가요는 일왕을 찬양하는 내용을 담은 제국주의 시절 일본 국가로, 욱일승천기와 함께 일본 제국주의의 .."
58,2,"[아시아경제 김서현 기자] 오늘(23일) 오후 8시, 부실한 선수촌, 후쿠시마 식자재 사용 강요, 주요 정상들의 불참 등 온갖 논란을 겪은 도쿄올림픽이 개막한다... 코로나19 시대 첫 올림픽으로 205개국과 난민대표팀까지 206개 팀에서 1100명의 선수가 참가한다... 8월8일까지 17일간의 열전을 벌일 예정이다... .. .. .. ..문제는 코로.."
59,2,"후쿠시마현 유스토마, 미야기현 해바라기, 이와테산 용담... .. .. 23일 개막하는 도쿄올림픽에서 우승자에게 건네지는 꽃다발의 원산지들이다... 올림픽위원회 홈페이지에 따르면 일본은 올림픽 우승자에게 줄 꽃다발 5000개를 동일본 대지진 피해 지역에서 생산한 꽃으로 만든다... .. .. .. .. 이 가운데 용담 생산지인 이와테 지역 꽃 협회의 쿠.."
60,7,"여자 양궁에 이어 남자 양궁에서도 막내의 반란이 나왔다... .. .. ..김제덕(17·경북일고)은 23일 일본 도쿄 유메노시마 공원 양궁장에서 열린 2020 도쿄올림픽 양궁 남자 개인 예선 랭킹라운드(순위결정전)에서 72발 합계, 688점을 쐈다... 본선 참가 64명 중 1위에 오르면서 여자 대표팀 막내 안산(20·광주여대)과 짝을 이뤄 혼성전 금메.."
61,7,[헤럴드경제=김성진 기자] ..‘화수분’ 한국 양궁이 막내들의 맹활약에 함박웃음을 지었다... .. .. .. .. 남자 양궁대표팀의 ..'막내' 16세 김제덕(경북일고)이 남자 개인 랭킹라운드에서 당당히 1위를 차지했다... 앞서 열린 여자 개인 랭킹라운드에서도 막내 안산(20·광주여대)이 1위를 기록한 바 있다... .. .. .. .. 김제덕은 2..
62,1,"SBS ..'런닝맨'에서 희극인으로 변신한 멤버들의 요절복통 레이스가 공개된다. .. ..평소 ..'런닝맨'에서는 개그맨 뿐만 아니라 가수, 배우가 본업인 멤버들도 예능인 못지않은 활약이 두드러진 가운데, 특히 이광수는 유재석에게 ..희극인 회비 내라!라는 소리를 들을 정도로 ..'런닝맨' 내 한정 희극인으로 자리 잡았다. .. ..이에 제작진은 희.."
63,7,올림픽 최강자 한국 양궁이 상큼한 첫 발을 뗐다... 여자 대표팀 막내 안산(20·광주여대)은 올림픽 양궁 사상 첫 3관왕 기회를 얻었다. .. ..안산은 23일 일본 도쿄 유메노시마 공원 양궁장에서 열린 2020 도쿄올림픽 양궁 여자 개인 예선 랭킹라운드(순위결정전)에서 엑스텐(10점 정중앙)에 16차례 꽂는 등 72발 합계 680점을 쐈다... 19..
64,2,"7월 넷째 주 ..(7월17~23일) 국제 퀴즈 뉴스입니다... 이번 주 눈여겨 볼 국제 뉴스는 대혼란 속 개막하는 도쿄올림픽, 전 세계 휩쓴 이상 기후, 미국 코로나19 확산세입니다... 한 주간의 국제 뉴스를 퀴즈로 정리해보세요... .. .. .. .. .. .. .. ..# 재미로 풀어보는 오늘의 퀴즈 ..도전! 국제뉴스 퀴즈왕 ..7월 넷째 주.."
65,2,"“이번 올림픽은 미래에 대한 희망의 순간보다는 쇠퇴의 확연한 가능성을 보여줄 수 있다.” .. .. ..뉴욕타임스(NYT)는 22일(현지시간) 각종 논란 속에 막을 올리는 도쿄 올림픽에 대해 이같이 평가했다... NYT는 일본이 전쟁의 폐허에서 회복하고, 평화로운 민주주의를 재건하며 들떠 있었던 1964년 도쿄 올림픽과 이번 도쿄 올림픽은 ..“의미가 .."
66,7,"우리 선수단은 2020 도쿄올림픽에서 종합 10위권 진입을 겨냥한다... 최소 금메달 일곱 개를 따야 가능하다고 본다... 선두주자들의 활약이 중요하다... 여전히 강세를 유지하는 종목들이 이번 주말(24~25일)에 몰려 있다... 사격, 양궁, 펜싱, 태권도, 유도다... .. .. .. ..첫 애국가는 사격장에서 울려 퍼질 수 있다... 여자 10ｍ.."
67,5,[머니투데이 신정인 기자] .. ..여자배구 국가대표 김연경 선수가 2020 도쿄올림픽 선수촌 급식지원센터 영양사에게 보낸 감사 메시지로 훈훈함을 안겼다. .. ..지난 22일 MBN 유튜브 채널 ..'온마이크'에는 올림픽 개막을 하루 앞두고 대한민국 선수단의 급식지원센터의 상황이 공개됐다... 급식지원센터는 한국 선수촌 식사에 후쿠시마산 식재료가 사용..
